 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 165 166 167 168 169 170 171 172 173 174 175 176 177 178 179 180 181 182 183 184 185 186 187 188 189 190 191 192 193 194 195 196 197 198 199
360 0.0897538 -0.06410322 -0.11777752 -0.10695365 -0.094633475 0.10051811 0.07220217 0.05993594 0.016540008 0.14917214 -0.025246698 0.11054627 -0.058953192 -0.13551722 -0.045437094 -0.039025616 -0.10468113 -0.13442332 -0.010827469 0.035265364 0.081547886 -0.106647685 0.1258428 -0.085246 0.09572537 -0.13002913 -0.0409453 0.13307382 0.12791501 0.122796796 -0.058818556 -0.23809698 -0.12539455 -0.07790681 -0.020798512 -0.36926785 -0.11215763 -0.18999949 -0.0828666 -0.03781948 0.1720289 0.12231939 0.11241549 -0.1804171 0.07396592 0.013641957 -0.01470608 -0.008511738 -0.040147685 -0.026904376 0.12404922 0.032706358 0.04783405 0.11091556 -0.2343597 0.10389401 0.025191518 0.0808631 0.1787237 0.077645734 -0.14840493 -0.11000956 0.026536494 -0.11174386 0.09426724 -0.016852414 -0.048843816 0.01609773 -0.27647397 -0.053402886 -0.014773388 0.09183818 -0.0811435 -0.06196355 -0.031873237 0.19321254 0.10738296 0.22455801 -0.014641768 -0.0065716347 -0.20301823 0.0059296065 0.030662304 -0.36429313 0.090551816 -0.16946904 -0.02684205 0.038709335 0.14051446 0.1484132 0.088506065 -0.13081308 -0.1567004 -0.100627914 0.003744974 -0.08542511 0.10347784 -0.035495337 0.031086847 0.051826686 -0.12066802 -0.052375 -0.10953792 0.06362592 -0.23284589 -0.00021704724 0.11301458 0.01760042 0.07777022 0.07781109 -0.05165871 -0.04390299 0.10878024 0.045115333 -0.07838116 -0.14577927 0.25398016 0.13855053 0.03831089 -0.25999475 0.03951779 0.11868357 -0.018662643 -0.21919444 -0.16843739 0.1936076 -0.0665607 -0.40556213 -0.04767111 0.14443894 -0.05406051 0.076325394 -0.05846823 0.30551738 -0.16550584 -0.07486902 -0.39165995 -0.019114116 0.06771706 -0.094208084 -0.09403365 0.042828947 0.031784855 -0.06618988 0.057749752 0.103443794 0.028084647 -0.083390065 0.17394483 -0.047537737 -0.22761516 -0.078067966 0.106441185 0.1465205 0.013415505 0.012168382 0.16056347 0.026904935 -0.002143014 -0.17117837 0.16562381 -0.059717372 0.020931898 0.14510074 -0.11974407 -0.11595276 -0.14253539 -0.048509337 0.19786076 -0.080512464 0.02389353 0.013412698 0.04350732 -0.051567644 -0.11908189 0.12885013 -0.06688951 -0.14828621 -0.15085067 -0.03206314 0.06432623 -0.29245418 0.18147099 -0.12690356 -0.1182396 -0.08620048 0.049572315 -0.25705436 -0.16356136 -0.09746737 0.1857933 -0.117306925 -0.15890813 -0.22977544 0.10603246 -0.07733729 -0.10084496 -0.14192113 0.14834388 -0.0786088
0 0.02613398 -0.25484797 0.097246885 0.021463346 0.0971047 -0.015440612 0.062199973 -0.03388314 0.045120273 0.14299196 -0.3440799 0.17335415 -0.27392483 -0.104082674 0.18359639 0.029852228 0.07227707 -0.0066655288 0.2619998 0.035839442 -0.17391397 0.09919352 -0.13437055 0.2050281 -0.25117013 -0.08127869 -0.0009150462 0.26833856 0.056478858 -0.13596722 0.24643143 -0.020866858 -0.08475833 0.15813474 -0.03957386 -0.09520686 -0.109085694 -0.13764258 0.095296465 -0.052868225 0.17930895 0.15818791 -0.14242737 0.046569023 0.20683266 -0.17569357 0.025983982 0.25399682 0.0371695 0.30390316 0.019135991 -0.15825693 0.16808644 -0.045385223 0.029020593 -0.10893628 -0.00429406 -0.14034307 -0.20472579 0.10690397 -0.030616162 -0.03599881 -0.09486162 0.12897801 -0.04421463 -0.42882884 0.07392216 -0.009405665 0.20352928 0.101710305 0.12481705 0.2981757 0.16463985 0.15884842 -0.25414658 -0.20809193 0.09539946 -0.086495206 0.14015576 0.22188066 0.034444544 0.143062 -0.11694935 -0.09230286 -0.11960472 -0.05575563 -0.18198694 -0.24500538 0.18958935 -0.0926043 0.19239889 0.0895391 -0.105555095 -0.11105335 -0.05159699 0.07737428 -0.010015258 -0.23416281 0.012134318 -0.11404078 0.069205336 -0.0128215905 -0.10978093 0.07525759 -0.26282454 -0.22038594 -0.12019155 0.2113096 -0.13039497 0.16481254 -0.18861634 -0.011500786 -0.15625614 -0.104470275 -0.26373613 -0.2653165 -0.13827017 0.00018643493 0.2961775 0.1948201 -0.080230296 0.1332294 0.009922126 0.012055048 0.16427302 0.056851298 0.13353527 0.1701498 -0.1229897 0.18444248 -0.09314386 -0.09196998 -0.00280862 -0.09549569 -0.31335753 -0.05316887 -0.2147242 -0.08920924 -0.19069695 0.3514584 -0.10539465 0.08444669 -0.19785987 0.072395526 0.18748577 -0.055213537 0.020108646 0.27230102 -0.11984119 0.1999018 -0.035081208 -0.018455695 -0.007994359 -0.075956844 -0.14781328 0.2749532 -0.013824394 0.18006772 0.00566507 -0.011424398 -0.022552347 0.059421234 0.03331073 -0.08078077 0.14669125 -0.08128444 -0.2608246 -0.10220347 -0.09883895 0.2889649 -0.07127845 -0.036855016 -0.13346846 -0.14446804 -0.1021638 -0.046125934 0.1037709 -0.072049096 0.073516265 -0.24798435 0.48876765 0.116024554 -0.0007042417 -0.18767385 -0.1039591 0.2177109 -0.09002896 0.026123978 0.03481437 0.0047074836 0.31419522 0.14467031 -0.12495218 0.0068533258 0.09541558 0.33406943 -0.008720906 0.024888499 0.1449241 0.07416486
361 0.26956496 -0.20405231 -0.000645275 0.31742945 0.066843666 -0.2779392 0.054354813 0.46184126 0.013339157 0.08272168 0.036816373 -0.2121558 0.25164908 0.14240327 0.082202464 0.3368294 -0.2217131 -0.11476253 -0.050727535 0.0480926 0.3626579 -0.2926043 -0.11003564 -0.3548734 0.4505162 0.4239543 -0.03533092 -0.4512322 -0.09486635 -0.2330321 -0.21395084 -0.07717479 0.46945927 -0.44614235 0.10274887 -0.26821378 0.10518665 0.28702396 0.11124089 -0.04196706 0.18083188 0.061670974 -0.106323145 0.21674553 0.0018580027 0.15493147 0.092035346 0.043309644 0.2068801 0.29253232 0.5687103 -0.2518449 0.13677892 0.56212974 -0.21266255 -0.20145087 0.15142763 0.5429096 0.20120016 -0.32174024 0.2798064 0.20575258 -0.102311276 0.0035887866 0.07080911 0.45058736 -0.04344988 -0.17886852 -0.29327163 -0.26861197 0.10024362 -0.15067199 -0.0685184 -0.44795948 0.20479873 0.025691729 -0.103717 0.2938055 -0.347666 -0.13377622 0.08959111 -0.030948946 0.31989673 0.14870952 0.048422344 0.15703227 0.177944 0.28146228 -0.04101233 0.08387308 -0.2362211 -0.28064635 0.16808428 -0.054864153 0.3278358 -0.21552072 -0.001002329 0.074417576 0.3886717 0.26367125 -0.13636975 0.55069053 -0.48223177 0.31764 0.04619747 -0.0012176633 -0.009913873 -0.017620608 0.049036495 -0.0010341204 0.20527907 -0.1855246 0.029320046 0.11133108 0.09151313 0.0009046552 0.1517653 -0.04892171 0.03983428 -0.17335124 0.18594326 -0.38466635 -0.03506252 -0.33253467 -0.34458718 0.05601045 0.055165622 -0.29799125 0.4154477 -0.23919816 0.6857209 -0.18519416 0.14305648 0.46060878 -0.064406335 0.20325458 0.30020085 0.47419053 0.0034650713 -0.22102696 -0.12667768 -0.45173553 0.47160804 -0.38568866 0.40758246 -0.23483156 -0.013398008 -0.43507266 0.12494865 0.017697243 -0.049337603 0.40191713 0.5653446 0.093383856 0.6311686 0.011120948 -0.16498013 0.23289597 -0.12889944 0.30415353 0.29892093 0.26101303 -0.021793703 0.40921414 -0.2000783 0.021566933 0.14064188 0.26646754 -0.2446656 -0.4278252 0.1356029 0.0915348 0.11811523 0.3022639 -0.34308773 -0.011581756 -0.25271377 -0.14079598 -0.2084624 0.589214 -0.047601767 -0.17427497 -0.3291977 -0.07683587 0.15672848 -0.60493857 0.15302496 -0.22984833 -0.18135749 -0.0101424 -0.10958414 -0.18522894 -0.15423504 0.63878673 -0.0535171 -0.11446601 0.59802073 0.025802445 -0.3593397 -0.07456353
362 0.09498813 0.37839687 0.056356728 -0.077768825 0.030863523 -0.46874112 0.12766923 0.0020995543 -0.7871614 -0.232929 0.16619658 -0.18055472 0.25350812 0.18945879 -0.4095519 0.50439024 0.0109514 0.15013394 -0.7598333 0.13462608 -0.50463665 -0.0060043167 0.09927576 -0.35215846 -0.04380102 -0.00029198482 -0.11409842 -0.22470617 0.07521719 -0.03541242 -0.43004143 -0.54992914 0.33024725 -0.43413636 0.13415235 -0.17922476 -0.1687029 0.23061658 0.4549783 -0.27429533 0.08094143 -0.078833625 -0.011920484 -0.19923532 -0.73498625 0.42031154 0.02271293 -0.06836354 0.062188976 -0.08229912 0.5403501 0.4314511 0.28857243 -0.33545882 -0.21149117 -0.39720246 0.06311568 -0.08682568 -0.23681225 -0.2273122 0.10240717 -0.35404587 -0.16469347 0.23611777 0.15454815 0.09964628 -0.4672812 -0.37542772 -0.3279981 -0.29058427 -0.059351873 -0.29833815 -0.32253897 -0.3259733 0.31653345 0.572364 0.19999671 -0.019562671 0.1887915 0.42331842 -0.06729856 -0.27817196 -0.24986674 0.14545278 -0.076121576 -0.24351792 0.21483812 0.38740656 -0.34417585 0.5864045 -0.1976383 0.24835901 0.06768168 -0.042371895 -0.16910765 0.15386462 0.21438749 -0.16035657 0.19066481 0.4872535 -0.037162848 -0.14336757 -0.3304007 0.25230205 0.59070253 0.14006974 0.2591525 -0.27922794 0.23452082 0.07204296 0.3494821 0.24410181 0.49922752 -0.05310946 0.1423834 0.1518777 -0.016115 -0.11435705 -0.020699648 0.17495964 -0.067897834 -0.13787818 -0.11541696 -0.024171885 -0.5745189 0.23760113 -0.10426973 -0.39884946 0.18986359 0.13272819 0.345011 0.3980813 0.28526768 0.4493686 0.36218888 0.21881749 0.28377312 0.4315828 -0.12852822 -0.5085977 -0.066254206 -0.13253109 0.121268414 0.010728795 0.49381602 0.35158446 -0.22078873 -0.46412706 0.008623346 -0.3610353 -0.027646897 0.00902388 0.5645037 0.25176197 0.29192242 -0.21039893 0.0899136 0.4103609 0.05767948 -0.0673148 0.16888615 -0.26696658 -0.38604733 -0.16178839 -0.47833937 -0.39754683 -0.04887956 -0.13468312 -0.48075813 -0.25040397 -0.2718749 -0.08761149 0.15089688 0.36649507 0.17774294 0.1428438 -0.5167536 -0.051208526 -0.21246904 0.3175984 -0.19427268 0.041592613 0.008838367 0.27766502 -0.042656828 0.114003636 -0.13376188 -0.56391525 -0.48422033 -0.004001319 -0.38363278 0.06358659 0.22104318 0.3110483 -0.35932836 -0.25299022 -0.13359486 -0.40436944 -0.18020979 0.36136562
363 -0.1466132 0.15354471 -0.09307279 -0.11534776 0.49044728 0.32423106 -0.0399944 -0.19687454 0.06856972 -0.3802362 0.020595457 0.11924776 0.089233354 -0.09575455 0.11325517 -0.40603736 -0.4463404 0.15345217 0.30724317 0.2728765 0.052051455 -0.15036558 -0.11465115 0.068085566 -0.057714324 -0.2838067 0.24215837 -0.022410264 0.051097803 0.5104478 -0.2190721 0.35469314 0.038584772 0.12361183 -0.30138293 -0.009270945 -0.028724149 -0.20398268 -0.16108908 -0.05908106 0.10183168 -0.07057199 -0.038732674 -0.6064373 0.13699153 -0.12735823 -0.16108629 -0.07644571 -0.05591333 -0.1265576 0.19787094 -0.11413446 0.08306004 -0.27647647 -0.216086 -0.19552143 0.029078554 -0.25813884 -0.07233883 -0.036470048 0.003434103 0.046785865 0.3426973 0.005745238 0.38198143 -0.099996045 -0.27669734 0.2391595 0.1350093 0.027194323 -0.06494925 0.021100327 -0.043394085 0.22603764 -0.15233216 -0.034342486 0.19718604 0.19778635 -0.3071255 -0.11340602 -0.22394462 -0.19664343 -0.44699994 -0.030899825 -0.33201423 0.055890065 0.21988761 -0.020264646 -0.11764983 -0.24672934 0.18810327 -0.18583283 -0.49965352 0.011815185 0.22367851 -0.010865012 -0.06089256 -0.04053242 0.13131419 -0.3542441 -0.020871805 -0.037497185 0.09009089 0.016385913 -0.14053074 0.17046061 -0.10045162 -0.17434928 -0.0050549377 -0.38412806 -0.088191934 -0.018097186 0.05339006 -0.15268348 0.0094498675 -0.09043326 0.42354566 0.20226562 0.0004010831 -0.11433684 0.19924581 0.327218 -0.13272583 0.04155932 0.50400364 0.19724105 -0.31335962 -0.17345825 -0.23403099 -0.4941792 -0.48689672 -0.04430988 -0.17517456 -0.0862016 -0.12234876 -0.26127288 -0.20067698 0.12680635 0.24040957 0.07510903 -0.044181857 -0.160537 -0.13250238 -0.17217669 -0.5048501 -0.03665362 -0.05302853 -0.053406734 -0.023590093 -0.39785984 0.036382563 -0.20880435 -0.080337405 0.035927173 -0.00084760156 0.16905916 -0.06797537 -0.24002254 0.05611875 -0.06590085 -0.039646804 -0.26207784 0.36555442 -0.021799205 0.25343344 0.3636723 0.0051201484 -0.2565581 -0.22318223 0.36943284 0.30331954 0.13477477 -0.02320204 -0.13537894 -0.14876094 -0.32961628 0.21052922 0.14235452 0.088721104 -0.0038982718 0.08627908 0.08160909 0.057830933 0.085103236 0.057549845 0.1068327 0.03681803 0.16765647 -0.1567466 0.09794569 0.12775755 -0.19659652 0.040264364 0.07017086 -0.25456378 0.20495877 -0.19586916 0.15433094 0.25547206 -0.1974635
364 0.13653836 -0.03901757 -0.15279381 -0.14483875 0.23117094 -0.092844255 0.057045016 -0.03523142 -0.21754034 0.21382824 0.11664074 -0.08146257 -0.1367528 0.083636135 -0.45548746 -0.063271575 -0.031436402 -0.26791736 -0.34382024 -0.12900259 0.020007873 -0.30485702 0.10706808 -0.17675997 -0.03978989 0.47256985 0.09313916 -0.19609886 0.29184228 0.20513248 -0.5605167 0.0617126 0.52149636 -0.18773317 0.14889158 -0.18342976 -0.17213984 0.76902205 -0.2667993 0.07127649 0.20604584 -0.09747977 -0.09413692 -0.24308759 -0.26263884 0.13773094 0.094159804 0.1848255 -0.09353901 -0.027387613 0.17753555 0.054539975 0.002304266 -0.12685804 0.036944535 0.3272961 -0.12483256 0.296943 0.13047048 -0.29172498 -0.08973849 -0.29510278 0.26164195 -0.08654461 0.54316294 0.17915246 -0.13735802 0.09127399 -0.28995192 0.131973 -0.08421546 0.26659468 -0.4167111 -0.16603452 0.2799327 0.044631086 -0.14401041 -0.055103477 0.00808108 0.22540845 0.06283087 -0.18374394 -0.06909377 0.41184607 0.03207314 -0.07776076 0.19810955 0.04951036 -0.1946357 -0.19386803 -0.2487713 0.096346185 0.05729037 0.19233723 0.1364967 -0.028174637 0.007848049 -0.038619723 -0.33541784 0.1276137 -0.1782878 -0.11333981 0.121903196 -0.0902518 0.0703534 0.13646142 0.09984574 -0.13059472 -0.26193386 -0.16486606 -0.0789394 -0.0011566869 0.31875625 0.1228067 0.20299795 0.283718 -0.10790987 0.41707054 -0.33193198 -0.20085442 0.11303332 -0.44845167 0.018778943 -0.28377002 -0.2682729 0.026178157 0.12201954 -0.318888 0.0030596252 -0.18174084 0.12510064 -0.14666635 0.29200193 0.112777926 0.20811206 -0.19095236 0.037668545 0.4154598 -0.24103065 0.07230922 -0.1432934 0.027485168 0.53271383 -0.1599134 0.30415028 0.15767618 -0.07522241 -0.17298377 0.32599226 0.14030676 0.10414737 0.032595884 0.31583485 0.13579573 0.3889617 0.15842232 0.1347104 -0.06326586 0.019344904 0.16786198 0.3553703 -0.3325049 -0.04746218 0.04361833 -0.3594152 -0.14905652 -0.14806059 -0.26225278 -0.103534795 -0.33344856 0.06496473 0.064078405 -0.075227566 0.4057412 0.03307541 -0.025186943 -0.1015789 0.039407086 -0.21101065 0.2974251 0.034670863 -0.5113016 0.028533736 0.22282827 0.061920047 0.042391766 -0.015916536 -0.2500187 -0.47790316 -0.07687863 -0.17204164 -0.14774318 0.2399046 -0.0044890144 -0.38462874 -0.24121527 0.12612636 0.12407869 -0.12912153 -0.31783482
365 0.24807864 0.3429299 -0.24050269 -0.18557201 0.3081039 -0.14789829 0.04064237 -0.4156372 -0.221728 0.042248417 0.18128797 0.052016504 -0.2049656 -0.061941642 0.2998367 -0.15628402 0.121428326 -0.24895367 -0.0663046 0.77146775 -0.32449022 -0.13015328 0.001829756 0.14236113 0.36757925 0.47602883 -0.050439343 -0.015850386 -0.09527761 0.30598748 -0.62093586 0.07941157 0.09507921 -0.16790293 0.16803291 0.037156552 -0.102863014 -0.037487123 -0.08805023 -0.04763036 0.0668275 0.0934548 0.09869734 -0.25293052 0.17711014 0.12855975 -0.08016236 -0.12162968 0.09160814 -0.43159634 0.12560956 -0.19973433 -0.088833116 -0.22249353 -0.3323859 -0.10473454 -0.15484126 0.014263925 -0.10519801 -0.1560699 0.37845942 -0.33631927 0.2120645 0.54719996 -0.06726903 -0.13732216 -0.062730044 0.21403512 -0.13656372 -0.14046414 0.1531557 0.20457989 -0.08224795 -0.11521904 0.02478772 0.4943254 0.23758642 0.14798735 -0.16538458 -0.03815905 -0.012312134 -0.1885048 0.04362414 -0.07368611 -0.11059692 0.28948963 -0.15024874 0.37890786 0.095973305 -0.26304853 -0.031425975 0.24685141 0.120231465 0.35090008 -0.38264716 0.16173632 0.25185242 -0.15735266 -0.36593577 0.45095658 0.0034624056 -0.53019774 -0.14933172 0.04587716 0.009163618 0.37848222 0.041865278 0.46878606 -0.36245927 0.083014145 0.0038731871 -0.12239337 0.22108153 -0.35736904 -0.09962259 -0.3850337 0.29206654 -0.15575422 0.16708092 -0.16473089 -0.03668194 0.08431041 -0.1688705 -0.16208175 0.11463208 0.25809005 -0.36943018 -0.25559592 0.2698301 0.071063265 -0.08229407 0.18216196 -0.22503357 -0.25630674 0.21117698 0.23680244 -0.06888455 0.050730225 -0.24976867 -0.13726886 -0.1785984 -0.15529667 -0.19456957 -0.18521821 -0.15616585 0.24040689 -0.28639856 0.014391307 0.35007283 -0.021892874 -0.17202877 0.10106587 0.48147878 0.014718429 0.32574078 0.11953367 0.17436394 0.2732656 0.29381624 -0.113145724 0.1361608 0.00270312 -0.3169041 0.0036489102 0.053213503 -0.22286676 -0.1732114 -0.2587368 0.06717016 0.52411705 0.031427614 -0.35773432 0.36255234 0.40896487 -0.15287372 0.30694017 -0.40572885 -0.14119916 0.13643701 0.055614896 0.03225436 0.21539429 -0.008265696 0.16018732 -0.221984 -0.11068048 0.044373658 0.015250419 -0.19418667 -0.13186593 0.16242665 -0.4622573 -0.057448775 -0.0044736876 -0.4731719 0.06545576 0.20903322 -0.034037687 0.03909127 -0.09740765
366 0.033630136 -0.09975316 -0.13370307 -0.18232615 0.2969667 0.09826606 0.1965915 -0.36216238 -0.05927094 -0.056561787 -0.04835914 -0.11292004 -0.12870173 -0.09581696 0.033247676 0.0117404265 0.07989131 0.23616111 -0.24375378 0.0837843 -0.12494912 -0.24711992 0.22648653 -0.08907777 0.09345711 0.07678168 0.016758708 -0.4885586 0.034228086 0.10919403 -0.2284119 -0.15948293 -0.07229137 0.082066886 -0.03646949 -0.16195294 -0.32161015 -0.1134366 -0.02291573 0.05026917 0.017458115 0.042932536 -0.06549663 0.037625805 0.08196928 -0.15414143 -0.060741264 -0.15621714 -0.08202594 0.12112985 0.110198036 0.018556084 0.21210304 -0.099534504 -0.12682913 -0.188305 -0.24211097 0.18306738 0.392959 -0.16891281 -0.022506814 -0.016024066 0.11852436 0.062137805 0.22664233 0.22152221 -0.11162449 -0.12229658 -0.08488175 0.11036484 0.114688344 -0.07164583 -0.21404345 -0.27438733 0.08608809 0.07017653 0.020655386 0.2702333 0.016853428 0.0072288136 -0.0847126 0.02957054 0.14546725 -0.061403833 -0.34210798 0.13248551 0.06450675 0.050907586 0.2437458 0.14908771 0.031987295 -0.044593517 0.093592286 0.13532376 -0.02845856 -0.022122324 0.14436604 -0.14846046 0.04542765 0.0121004945 -0.17152038 -0.25033316 -0.21933168 0.42282408 0.2951007 -0.01658394 0.06577198 0.24219139 -0.079331145 -0.03934711 -0.08277303 -0.088357374 0.11821227 -0.055809826 -0.16297218 -0.22860618 0.2612797 0.20255522 -0.22708116 0.06477072 0.118678465 -0.058370154 -0.13757981 -0.042428736 -0.023802264 0.11860619 -0.0581438 -0.4735793 0.17803803 -0.11488108 0.09466849 -0.12419306 0.23370983 -0.0034925395 0.11561779 -0.0539278 0.015837723 0.26234695 -0.26423606 0.12663427 -0.10080241 -0.23932381 0.016491445 -0.239926 -0.09994818 0.28707442 0.05805974 0.24584395 0.28799382 -0.096986674 -0.22545068 0.2093918 0.099090494 -0.030009544 0.20017245 0.06344186 0.14718617 0.10998616 -0.056106236 0.018314064 0.10581378 -0.055719532 0.019997608 -0.14669451 -0.1194077 0.10097038 0.006136915 0.01195649 -0.12528433 0.08242788 0.12962343 0.0375337 0.121039756 0.08229222 0.19830698 -0.038189013 -0.12208355 0.14376427 -0.20439726 0.07988336 0.11693522 -0.19112678 -0.34052697 -0.10113115 -0.025014732 -0.21019208 0.009518794 -0.25493664 -0.10594542 -0.23568827 0.043098893 -0.16002576 0.057111878 -0.19681424 -0.19550982 -0.038700197 -0.04528858 0.007775475 0.06505581 -0.058421075
367 0.17168684 0.15415506 -0.23571262 0.08782184 -0.089472294 -0.10042858 0.0008401431 -0.04363766 -0.53077525 0.0832381 0.27332556 0.13875733 0.20171694 0.26349923 -0.2989632 0.36652663 -0.34655082 0.33962107 -0.5677694 0.07197689 -0.25638577 0.0142998295 -0.027855339 -0.12159206 0.0037293518 0.098666295 0.30401427 -0.39604086 -0.035313725 0.016214743 -0.30030227 0.4144991 0.31374016 -0.09330179 0.25670084 -0.65043604 0.34681457 0.16774966 0.2462246 0.29869205 0.29070708 -0.4654172 0.24300143 -0.054635584 -0.22397676 0.008711955 -0.04928291 0.14621231 -0.093262345 0.21554048 -0.15406299 -0.09908179 -0.0333715 -0.021784395 0.053095676 -0.37398875 -0.17001912 0.26911774 0.20025556 -0.36203888 0.55914867 -0.17305167 -0.115905516 0.37263197 0.44528535 0.33431947 -0.1538167 -0.47665715 -0.17856796 -0.110695586 0.22878657 0.16466962 -0.2506619 -0.21985826 0.024544671 0.13074689 0.19209199 0.4449028 -0.2614522 0.4042028 -0.057865217 -0.27315256 0.117046736 0.22512005 0.045768812 0.42673913 -0.24135488 0.16773427 -0.3611056 -0.3644042 -0.17551777 0.06310325 -0.22378516 0.17797399 0.24318784 -0.08065535 0.108457044 -0.12242626 -0.036855057 0.2869532 0.040167034 -0.06463376 -0.10970084 0.012388671 0.06790843 0.15744713 0.12281436 0.32455164 -0.30083752 -0.124088615 0.031085022 -0.44281414 -0.202882 -0.08412547 0.40825036 0.6056118 -0.3076099 -0.20767185 -0.64346826 0.6164565 0.10091861 -0.030571707 0.24461497 -0.022999944 0.07031938 0.06072938 -0.18109022 -0.12614411 0.32054022 -0.16495366 0.23961851 0.023056896 -0.20418301 0.011142318 0.23831324 0.35013416 0.084136695 0.08167326 -0.64335227 -0.3041939 0.112689085 -0.106567934 0.09263287 0.16389759 -0.0240562 0.20722508 -0.016992131 -0.035340734 0.32723993 -0.39790365 0.4018569 0.18800701 0.012671154 0.35531262 0.34955356 0.08522196 0.15899377 -0.1602922 0.051593885 -0.33184952 0.4053339 -0.3885185 0.3966531 -0.10971018 0.24350345 0.35963148 -0.14850298 0.04476015 -0.21420847 -0.4825729 0.044699345 -0.064768575 0.04138128 0.011946901 -0.055644378 -0.16931747 -0.016690113 0.60982174 -0.08143563 0.44525683 -0.015203564 -0.109786876 0.0059875576 -0.21138674 0.309206 -0.27765957 -0.45470846 0.060425326 -0.17643972 -0.5249313 -0.012103493 0.117518805 0.08643162 -0.1677018 -0.016492918 -0.2158691 0.032835063 -0.016024545 0.064794265 0.027508445
368 0.05563261 0.047194913 -0.16801783 0.03622576 0.13342164 0.19541128 0.052885137 0.14347452 -0.03816034 0.023581926 0.14866085 -0.27500743 -0.17571421 0.06545401 -0.06229901 0.08271446 -0.28190073 0.18528521 -0.24778914 0.15778701 0.09452425 -0.2443141 -0.046932414 0.17347308 -0.09316515 -0.026123336 0.06782796 -0.16776595 -0.054189272 -0.2573566 -0.23545487 -0.22635956 0.2137877 -0.08711325 -0.025490008 -0.14698657 0.18270749 0.10460511 0.102415375 -0.0038475187 -0.08289613 -0.17373936 -0.14235002 -0.0012562546 -0.027974453 -0.1561102 -0.11323251 0.025364202 -0.15965688 -0.06733832 0.2970386 0.15559396 0.08496725 0.1097867 -0.054023273 -0.19662811 0.07982228 0.02157721 -0.051477715 0.10808542 0.2788455 0.06622036 0.22539279 0.098664425 0.01522513 -0.078396544 -0.12812139 -0.18298215 -0.12069781 0.032861196 0.035332687 0.17982998 0.06293734 -0.25445303 -0.336352 0.117189065 0.004420766 0.018854715 0.0078781275 -0.07009382 -0.03186384 -0.14407225 0.021910906 0.025574291 -0.21024562 -0.21792156 0.14284623 -0.02577751 0.08463082 -0.080505796 -0.05469487 -0.21737844 0.01747765 -0.050668415 -0.22160158 0.06936477 -0.123131976 -0.10266778 0.00920871 -0.049337104 -0.068801746 -0.18547752 -0.15848668 0.19304846 0.24925515 -0.112534575 -0.044304073 0.06388245 -0.049772426 -0.005069212 -0.2218851 0.04534578 0.23796429 -0.09518722 -0.14012071 -0.1710752 0.39100894 -0.042290688 0.032370593 0.027418515 0.0355828 0.07297395 0.010441898 -0.016846448 -0.04973882 0.15915002 -0.044263046 -0.1498919 0.11273106 0.051239423 0.31293207 -0.05747455 -0.014252677 -0.1188849 0.118307196 -0.110462196 0.17057586 -0.075484976 0.108050734 0.17293084 0.09981379 0.17190447 0.26269993 0.12457533 -0.009016191 -0.048358764 0.036671277 0.1041909 0.17899314 -0.23281789 -0.1308477 -0.014984456 0.011612093 0.08267144 -0.014099868 -0.08230931 0.029131671 0.09188044 -0.03911757 0.0033042203 -0.028037481 0.118827455 0.06882301 -0.07811933 0.109065026 0.018852733 0.008017315 -0.13542783 -0.058015358 0.0629631 -0.0106342165 -0.12933823 0.18774578 0.15255338 0.15742421 0.011300178 -0.14393353 -0.21906002 0.1305571 0.092489794 0.12416965 -0.10054511 -0.1285944 0.19625176 0.17802157 -0.30695182 -0.038230248 0.029581226 -0.017793644 -0.25162426 -0.022551112 0.052215554 0.103262134 0.17659722 -0.07447 -0.2626982 0.06421368 0.11971693 0.022767436 0.15610902
