,dest_node,source_node,weight,source_class,dest_class,edge_class
0,0,360,0.1,h,s,sh
1,0,361,0.1,h,s,sh
2,0,362,0.1,h,s,sh
3,0,363,0.1,h,s,sh
4,0,364,0.1,h,s,sh
5,0,365,0.1,h,s,sh
6,0,366,0.1,h,s,sh
7,0,367,0.1,h,s,sh
8,0,368,0.1,h,s,sh
9,0,369,0.1,h,s,sh
10,0,370,0.1,h,s,sh
11,0,370,0.1,h,s,sh
12,2,371,0.1,h,s,sh
13,2,372,0.1,h,s,sh
14,2,368,0.1,h,s,sh
15,2,373,0.1,h,s,sh
16,2,374,0.1,h,s,sh
17,4,371,0.1,h,s,sh
18,4,372,0.1,h,s,sh
19,4,368,0.1,h,s,sh
20,4,373,0.1,h,s,sh
21,4,374,0.1,h,s,sh
22,5,375,0.1,h,s,sh
23,5,376,0.1,h,s,sh
24,5,377,0.1,h,s,sh
25,5,378,0.1,h,s,sh
26,6,379,0.1,h,s,sh
27,6,380,0.1,h,s,sh
28,6,368,0.1,h,s,sh
29,6,381,0.1,h,s,sh
30,7,382,0.1,h,s,sh
31,8,382,0.1,h,s,sh
32,9,383,0.1,h,s,sh
33,9,375,0.1,h,s,sh
34,9,384,0.1,h,s,sh
35,9,369,0.1,h,s,sh
36,9,385,0.1,h,s,sh
37,9,374,0.1,h,s,sh
38,9,386,0.1,h,s,sh
39,9,387,0.1,h,s,sh
40,9,388,0.1,h,s,sh
41,9,389,0.1,h,s,sh
42,9,390,0.1,h,s,sh
43,9,391,0.1,h,s,sh
44,9,367,0.1,h,s,sh
45,10,383,0.1,h,s,sh
46,10,375,0.1,h,s,sh
47,10,384,0.1,h,s,sh
48,10,369,0.1,h,s,sh
49,10,385,0.1,h,s,sh
50,10,374,0.1,h,s,sh
51,10,386,0.1,h,s,sh
52,10,387,0.1,h,s,sh
53,10,388,0.1,h,s,sh
54,10,389,0.1,h,s,sh
55,10,390,0.1,h,s,sh
56,10,391,0.1,h,s,sh
57,10,367,0.1,h,s,sh
58,10,383,0.1,h,s,sh
59,10,375,0.1,h,s,sh
60,10,384,0.1,h,s,sh
61,10,369,0.1,h,s,sh
62,10,385,0.1,h,s,sh
63,10,374,0.1,h,s,sh
64,10,386,0.1,h,s,sh
65,10,387,0.1,h,s,sh
66,10,388,0.1,h,s,sh
67,10,389,0.1,h,s,sh
68,10,390,0.1,h,s,sh
69,10,391,0.1,h,s,sh
70,10,367,0.1,h,s,sh
71,0,383,0.1,h,s,sh
72,0,375,0.1,h,s,sh
73,0,384,0.1,h,s,sh
74,0,369,0.1,h,s,sh
75,0,385,0.1,h,s,sh
76,0,374,0.1,h,s,sh
77,0,386,0.1,h,s,sh
78,0,387,0.1,h,s,sh
79,0,388,0.1,h,s,sh
80,0,389,0.1,h,s,sh
81,0,390,0.1,h,s,sh
82,0,391,0.1,h,s,sh
83,10,383,0.1,h,s,sh
84,10,392,0.1,h,s,sh
85,10,393,0.1,h,s,sh
86,10,394,0.1,h,s,sh
87,10,395,0.1,h,s,sh
88,10,396,0.1,h,s,sh
89,10,388,0.1,h,s,sh
90,10,389,0.1,h,s,sh
91,10,397,0.1,h,s,sh
92,8,398,0.1,h,s,sh
93,12,375,0.1,h,s,sh
94,12,399,0.1,h,s,sh
95,12,400,0.1,h,s,sh
96,12,401,0.1,h,s,sh
97,12,402,0.1,h,s,sh
98,14,372,0.1,h,s,sh
99,14,403,0.1,h,s,sh
100,14,404,0.1,h,s,sh
101,14,401,0.1,h,s,sh
102,14,398,0.1,h,s,sh
103,14,387,0.1,h,s,sh
104,14,405,0.1,h,s,sh
105,14,406,0.1,h,s,sh
106,15,407,0.1,h,s,sh
107,16,375,0.1,h,s,sh
108,16,368,0.1,h,s,sh
109,16,385,0.1,h,s,sh
110,16,387,0.1,h,s,sh
111,16,408,0.1,h,s,sh
112,16,409,0.1,h,s,sh
113,16,405,0.1,h,s,sh
114,16,410,0.1,h,s,sh
115,17,411,0.1,h,s,sh
116,17,412,0.1,h,s,sh
117,17,375,0.1,h,s,sh
118,17,413,0.1,h,s,sh
119,17,370,0.1,h,s,sh
120,16,414,0.1,h,s,sh
121,16,415,0.1,h,s,sh
122,16,399,0.1,h,s,sh
123,16,416,0.1,h,s,sh
124,16,417,0.1,h,s,sh
125,16,401,0.1,h,s,sh
126,16,418,0.1,h,s,sh
127,16,419,0.1,h,s,sh
128,16,420,0.1,h,s,sh
129,16,421,0.1,h,s,sh
130,18,422,0.1,h,s,sh
131,18,375,0.1,h,s,sh
132,18,376,0.1,h,s,sh
133,18,423,0.1,h,s,sh
134,18,395,0.1,h,s,sh
135,18,424,0.1,h,s,sh
136,18,425,0.1,h,s,sh
137,18,426,0.1,h,s,sh
138,18,378,0.1,h,s,sh
139,19,422,0.1,h,s,sh
