,dest_node,source_node,weight,source_class,dest_class,edge_class
0,360,359,0.1,s,h,s-h
1,361,359,0.1,s,h,s-h
2,362,359,0.1,s,h,s-h
3,363,359,0.1,s,h,s-h
4,364,359,0.1,s,h,s-h
5,365,359,0.1,s,h,s-h
6,366,359,0.1,s,h,s-h
7,367,359,0.1,s,h,s-h
8,360,0,0.1,s,h,s-h
9,361,0,0.1,s,h,s-h
10,362,0,0.1,s,h,s-h
11,363,0,0.1,s,h,s-h
12,364,0,0.1,s,h,s-h
13,365,0,0.1,s,h,s-h
14,366,0,0.1,s,h,s-h
15,367,0,0.1,s,h,s-h
16,368,0,0.1,s,h,s-h
17,369,0,0.1,s,h,s-h
18,370,0,0.1,s,h,s-h
19,370,1,0.1,s,h,s-h
20,371,3,0.1,s,h,s-h
21,372,3,0.1,s,h,s-h
22,368,3,0.1,s,h,s-h
23,373,3,0.1,s,h,s-h
24,374,3,0.1,s,h,s-h
25,371,4,0.1,s,h,s-h
26,372,4,0.1,s,h,s-h
27,368,4,0.1,s,h,s-h
28,373,4,0.1,s,h,s-h
29,374,4,0.1,s,h,s-h
30,375,5,0.1,s,h,s-h
31,376,5,0.1,s,h,s-h
32,377,5,0.1,s,h,s-h
33,378,5,0.1,s,h,s-h
34,379,6,0.1,s,h,s-h
35,380,6,0.1,s,h,s-h
36,368,6,0.1,s,h,s-h
37,381,6,0.1,s,h,s-h
38,382,7,0.1,s,h,s-h
39,382,8,0.1,s,h,s-h
40,383,9,0.1,s,h,s-h
41,375,9,0.1,s,h,s-h
42,384,9,0.1,s,h,s-h
43,369,9,0.1,s,h,s-h
44,385,9,0.1,s,h,s-h
45,374,9,0.1,s,h,s-h
46,386,9,0.1,s,h,s-h
47,387,9,0.1,s,h,s-h
48,388,9,0.1,s,h,s-h
49,389,9,0.1,s,h,s-h
50,390,9,0.1,s,h,s-h
51,391,9,0.1,s,h,s-h
52,367,9,0.1,s,h,s-h
53,383,10,0.1,s,h,s-h
54,375,10,0.1,s,h,s-h
55,384,10,0.1,s,h,s-h
56,369,10,0.1,s,h,s-h
57,385,10,0.1,s,h,s-h
58,374,10,0.1,s,h,s-h
59,386,10,0.1,s,h,s-h
60,387,10,0.1,s,h,s-h
61,388,10,0.1,s,h,s-h
62,389,10,0.1,s,h,s-h
