 0 1 2 3 4
360 0.25037983 0.03010973 -0.16578032 -0.8160806 1.3444473
0 1.1843917 -0.15299968 -0.3075104 -0.028075019 -1.1109228
361 -0.39575687 1.3544207 -0.48041537 0.52889186 -2.1875994
362 1.1449194 0.31533137 0.88600206 1.5283588 -0.5659019
363 -0.045352343 1.1458815 1.6492808 0.18870074 -0.5404881
364 -0.61168474 0.6262633 0.747565 0.029519463 0.20934556
365 0.011308314 0.9385945 -2.1354969 -0.31822225 0.094812304
366 0.83820665 -0.47664076 0.8100975 0.93020093 -0.042071562
367 -1.1548908 1.6248271 0.17457296 -0.2618811 -1.4666594
368 1.0159727 -1.8730848 -1.7958003 -0.03087901 -0.35098466
369 1.3213059 0.7647947 -0.38098207 -1.5070738 0.06526611
370 -0.5025462 -2.0544043 2.6386814 -1.0744462 -0.17058077
371 -0.924233 0.4668409 -3.5581841 -0.4947483 -2.2227952
2 0.29860502 -0.4176683 0.21880813 -2.1710572 1.1215374
372 0.401351 1.3265467 -2.3995523 0.03589542 0.55538535
373 1.1858428 0.9896355 1.326816 1.273795 -0.7695298
374 -0.21290858 0.49655625 -1.1894268 -1.5043763 0.7541932
4 -2.1733422 -2.488927 0.9145845 0.57886624 -0.5324021
375 0.17170602 0.15388712 0.4716698 -0.7585976 -0.92781806
5 0.39172825 0.45828745 0.7876196 0.47281548 -0.3444103
376 -0.3275735 0.70609593 -0.021751108 -0.51232105 -0.74350417
377 -0.6346601 -0.657409 0.28839257 0.27560875 -0.14921293
378 0.39289373 0.3753759 0.61111265 0.20141083 0.16092123
379 0.70572776 0.9038926 0.046373513 -2.3100183 0.74063885
6 -0.66714513 0.2632428 -0.21196969 -0.018671107 -1.1745962
380 1.3124648 -1.7841758 -0.8987897 -0.1605455 1.2868359
381 -2.0718741 -1.2864473 0.33646482 0.64292586 -1.2198135
382 -0.99855655 0.97550327 -1.1761346 -0.107477516 -0.34677848
7 0.9901475 -1.1074609 1.5262294 -1.5132804 -1.0916045
8 -1.4254993 -1.653393 -0.63578606 1.188509 -0.050227545
383 -0.53078943 0.096273996 0.6444496 0.8576827 -0.8907042
9 2.9242544 0.32998005 0.5897987 0.19985612 -0.37589
384 0.65860575 1.1403465 -0.46580228 -3.0355833 0.83259857
385 0.6761847 -0.035002023 -0.56046987 0.35843414 0.41065907
386 -0.611244 1.6181382 -1.2316297 0.2644669 0.113705285
387 -0.52759534 -0.32808122 -0.3044431 0.034755882 -0.37225968
388 -1.2948719 -2.2996504 -0.08964086 -0.63218534 -0.3591207
389 0.83370864 -0.72448313 -0.62558293 1.1122085 -1.0472804
390 -0.14797264 -0.15560597 0.0724707 -0.89549756 2.1410682
391 0.44124237 0.1217475 0.35368675 1.6841997 0.57714164
10 1.8888317 -0.29146144 -0.57864624 0.0027262066 1.0593894
392 0.10270169 -1.7793039 -0.9232924 -0.8005839 1.9037787
393 0.5098508 -0.07526096 -1.4245291 -0.66464466 1.0892847
394 -1.0081784 0.87794554 -0.8284156 -1.5458778 -0.5728554
395 2.4112751 -0.33628243 -1.6959388 1.06411 0.48071444
396 1.8852651 1.8446774 0.86957103 -0.654289 0.8198925
397 1.3784226 1.0456283 0.19756527 -0.31105787 0.42781025
398 0.11082223 -0.38266364 1.0911173 -0.23409048 0.16114879
12 -0.83754057 -1.5465432 -0.15090877 -0.49624982 0.13945259
399 -0.7188843 -0.831947 -1.7070173 -0.96216583 1.7835033
400 0.69784755 1.4602116 -1.0153611 -0.10733824 0.3141855
401 0.70558053 1.6819952 1.4900255 -0.09802118 -0.3938988
402 -0.6010318 -0.28394905 -0.37269166 -0.10180044 -0.83481914
14 -1.2475737 0.77100754 1.8453199 -0.5847516 -0.034771133
403 -1.1659418 0.20744614 -0.0223216 0.8759032 -1.2705442
404 0.13575639 0.09701446 0.20364796 -0.4490746 -0.6126037
405 -0.40087122 0.7709793 1.5053555 -1.3418111 1.5314976
406 -0.12760444 -0.50097305 -0.8391368 1.9793775 -1.0190103
407 0.6855874 0.43319598 -1.1996609 -0.29232454 -0.042226315
15 1.0802593 -0.39674643 -2.413248 1.1944166 -0.8352482
16 0.4948661 0.6733615 -0.3323035 -0.9127546 -0.94496
408 -0.82938015 -1.1489496 1.4729818 1.6030816 -0.38880545
409 0.62349033 0.15131173 -0.36329052 -1.0007248 -0.45177373
410 0.5218202 -0.086854376 -0.77596587 0.070207074 -0.017069414
411 -0.91785544 -0.46967295 -1.6325747 0.6263372 -1.4607513
17 0.9242938 1.2256937 -0.3777131 -0.3956605 -0.38697886
412 -0.5953399 -0.89022255 -2.3647892 1.4467864 -1.7037086
413 -0.28541213 -1.1901326 -0.90046906 -0.083858036 1.2238089
414 1.1391935 -2.6726663 -0.4671833 0.897938 0.32216147
415 -1.4269911 -1.079515 1.2426815 1.0775418 0.06274919
416 0.37772664 -0.47392568 0.68216 -0.7811749 1.1922079
417 0.7510327 0.7863345 -0.98786783 -1.3775915 0.5823458
418 0.11866084 -1.1296806 -0.6922675 1.1037582 -0.08743362
419 -0.24578813 1.2582794 -1.90531 0.28986782 -0.3460943
420 1.2176821 0.24789424 0.46747807 0.11577628 -0.42833534
421 0.47831392 0.55989033 -1.2417452 -0.91066974 1.6148113
422 -0.9079119 -0.14306761 -2.0652595 2.1317663 -0.48523992
18 -0.11144114 1.6419399 -0.09576481 -0.08656434 0.63084304
423 1.0417444 0.93293035 1.1227638 1.4910887 -0.10176429
424 -0.70425665 -1.031545 -0.9410242 0.11668893 1.430786
425 0.4747633 0.27103946 0.09049679 -0.41193292 0.3689429
