 0 1 2 3 4
360 -1.3502306 0.83496624 -1.1408621 0.84274036 0.5127592
0 -0.7232627 0.07616351 1.0130147 -0.52611214 1.3022625
361 1.346057 -1.2102866 0.30992517 -2.108449 0.6505314
362 0.48337057 0.40419185 1.8016464 -0.48126185 1.4103503
363 1.0010608 -1.0275816 0.68688476 1.7100095 1.2218735
364 1.0952283 -0.0679822 -1.1374432 -0.70801175 1.4433029
365 0.42511433 -1.1969212 1.1431351 0.7528616 3.2406986
366 0.18843149 1.4199692 -2.01197 0.6207246 -1.6626979
367 -0.2347138 1.0726559 0.38519108 -0.35007778 -0.07723483
368 -0.0130069265 -0.2976522 0.12198932 -1.0903863 0.60882866
369 -1.3126222 0.089401685 0.99087906 -0.27022716 2.5917976
370 0.42767704 -1.9983807 0.44865495 0.07249186 0.6776878
371 1.3299834 -2.5459728 -1.0374506 -1.9336984 -0.29743576
2 -0.23026118 1.496756 -0.028073622 -0.5754231 0.09950403
372 0.70527303 -1.4968274 0.124703735 -1.0487673 0.3390159
373 1.0067148 1.0385859 0.33364585 0.4341476 -0.039870963
374 1.9912782 1.3224204 -0.048878927 0.16318575 0.3986778
4 -1.5408927 0.8758467 0.0889573 0.40053976 0.14430442
375 0.2955757 0.78018516 -0.06713347 -1.2513154 0.28683513
5 -0.7664644 -0.57243526 -1.6427941 1.0608051 -0.8776844
376 -0.28694728 -0.7052928 -0.4029214 -1.668701 1.1308388
377 -1.6418018 0.84410435 0.057102438 1.9081403 0.5643841
378 -1.665093 0.86259514 1.2387671 -0.4387283 0.2486042
379 -0.3337123 0.76356715 0.79442555 0.009665317 1.8052274
6 -0.7173148 1.9476414 -0.5136719 0.90625834 0.6024333
380 -1.1357974 0.30612242 -0.13539071 1.4133557 0.28042808
381 0.97924817 -0.10332196 0.3302865 -0.90408486 0.71335465
382 1.3848603 -1.3238531 -0.41470864 0.40638694 0.9611142
7 0.07726495 -0.814705 -1.7053655 -0.77176756 0.7283604
8 1.0947849 -0.9610188 0.38514483 0.008165254 -0.7253896
383 -1.0245162 0.22685567 -0.34539273 -1.8405141 -1.3549786
9 1.7214255 0.51439863 0.90297437 -0.84903234 -0.8134359
384 -1.2169405 0.16621861 -0.45499635 -2.4866133 0.8106629
385 -1.6548998 0.22771028 2.0294075 0.29824215 0.5562925
386 2.4478378 1.29533 -0.77066416 1.3612893 0.44777504
387 -0.2777922 -0.48861828 -0.27739918 -0.066271044 -1.4363687
388 0.7216716 0.99371386 1.1319817 1.8898513 0.2797528
389 -1.0072653 -0.9058025 -0.17096914 0.79003143 -1.1118925
390 -1.1468976 0.14372288 -0.26330695 0.4607093 0.21821503
391 -0.143806 1.0926167 0.46535444 0.5241506 -0.7939472
10 0.28029487 0.9406056 -1.5809779 0.97069484 0.64750654
392 -0.29665112 -0.6935196 2.3756511 -0.24900226 -0.094765596
393 0.1723898 0.8695409 0.5850266 1.3029615 0.6671169
394 1.0694754 -0.07889966 0.31173345 -0.41491592 -1.0516896
395 0.49431446 0.56968355 1.1622148 -0.8311915 -0.27714476
396 1.1295907 -0.35991982 -0.17936485 -1.371956 1.2963984
397 -0.28860748 -0.53295875 0.82654923 0.22216341 1.5007756
398 -0.36270803 0.9510847 0.5541924 -1.8063674 0.7167666
12 0.79126906 1.1098518 -0.14823052 -0.7400067 0.69470143
399 0.061996266 0.83306444 0.64956546 -0.52227956 0.8000796
400 0.99351114 -1.8744023 1.25956 1.3710659 -0.17694306
401 -1.5599793 -0.20838003 -0.8028553 -0.12055432 -0.3164278
402 0.40155154 -0.14314188 1.202928 -0.91205394 -0.5005767
14 0.34062326 0.3951592 0.9382864 1.2234982 -0.98984295
403 1.7627571 1.9521435 -1.0837915 -1.475663 -0.83019483
404 -0.26264775 -0.2800174 -0.8163104 -0.98924786 1.8980448
405 0.22299074 -1.0431025 1.1430898 -0.02884301 -0.68322235
406 0.73962206 0.2454581 0.44348386 -0.4967389 0.6651499
407 0.8106256 -0.8510713 -1.0282831 1.7504612 0.5843489
15 -0.17510092 -0.22073258 1.6499101 -1.036446 -0.04810242
16 0.77844036 -0.22279604 0.020364193 -0.53359497 1.1500268
408 0.64104503 -0.7079573 -0.0012751733 1.5127699 -0.70286494
409 1.9572266 0.06565306 0.03117955 -0.96799904 0.35295746
410 1.265115 1.3076872 -0.107211836 -1.3855739 2.3874087
411 -1.7415539 0.51074153 -0.8166925 -1.1444638 1.1689321
17 -0.21710768 0.49440295 -0.3676208 0.08850566 0.34842563
412 0.48875242 -1.7108269 -0.031923078 -0.73189104 -0.83154136
413 -1.2532287 0.8934741 1.584833 -2.6026468 -0.15867175
414 0.59602344 -0.1377123 -0.2648753 0.11557306 -0.30284283
415 1.1473422 -0.51798475 -1.553023 -0.29758224 -0.12676515
416 0.022809032 -0.6599043 0.30493718 -1.5973743 -1.8318894
417 2.209524 -1.645683 0.29054284 -0.12344109 -1.6460831
418 -0.55627084 -0.74140686 -0.7247536 -0.759721 -0.8971667
419 -0.17996228 -0.23619922 0.5192333 1.0366162 -0.15554917
420 1.3944821 0.11546172 -0.6889795 0.03632129 -0.9348527
421 0.4338579 0.9047567 -0.9456813 -0.8390864 -0.70772225
422 -0.29145762 -2.7149146 1.4192526 0.9010794 0.68812835
18 -0.2711514 -0.17484942 0.33054274 -1.0387824 -0.16051231
423 -2.1360803 -0.43529078 1.6692228 1.0039449 1.0716983
424 0.43634036 0.64163995 1.2022367 1.0889052 -1.1314294
425 1.0622814 -0.5718272 -1.1133834 1.8729411 -0.062791325
426 -0.12326984 0.43718234 1.130444 -1.6262656 -0.25821736
