 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 165 166 167 168 169 170 171 172 173 174 175 176 177 178 179 180 181 182 183 184 185 186 187 188 189 190 191 192 193 194 195 196 197 198 199
360 -0.018802373 -0.13213944 0.12500948 0.5050444 0.0004851335 -0.17194174 -0.13171028 0.42577237 0.2273923 0.22794156 -0.3856601 -0.11441059 0.14877436 0.33363426 0.011518745 0.12962778 0.21857797 -0.12352108 -0.103109874 -0.23243764 0.024549011 0.416 0.3001693 -0.38644958 0.5708096 -0.6078706 0.15021291 0.18927574 0.0047273957 -0.010602919 -0.043128796 0.12428442 0.11026461 0.012454765 0.072733425 -0.03688167 0.18920769 0.2576138 -0.2858421 -0.29603943 -0.6462866 0.18988189 0.092715785 -0.03594231 0.14968506 0.16176784 0.09805272 0.08882455 0.45874783 -0.016728804 0.3030946 -0.29871124 0.16671246 0.110133946 0.51311755 0.69220203 -0.18493986 0.3190642 -0.11841292 -0.19054615 -0.21854636 -0.13690475 -0.1101663 0.3976802 0.08377459 0.15510887 0.37267217 0.061235853 0.3814367 -0.046464056 0.51339936 -0.076864965 0.39680427 0.030106325 -0.008690673 0.12760174 0.055122577 -0.39338264 0.33737773 -0.08451635 0.4799834 0.3064946 -0.26613072 0.18016236 0.17829533 0.13865319 -0.20966588 -0.030196395 0.4212786 0.114928335 -0.32672274 -0.04964156 -0.1200022 0.34111226 0.13069358 -0.13342804 -0.04217182 -0.38465208 -0.13748181 -0.1465718 -0.32985097 -0.059246913 0.35256195 -0.90906495 0.17614758 0.023352161 -0.3852128 0.22140789 -0.3048863 0.29115587 -0.25951493 0.5672802 0.15254892 0.4875669 -0.0016254948 0.6212565 -0.12456043 -0.32827923 -0.26097438 0.16687796 -0.21637547 -0.07473554 -0.50517523 0.07989171 -0.4577024 -0.051823024 -0.45161852 -0.15374272 -0.09163967 0.1733072 -0.15832168 -0.28772378 -0.06334718 0.17738512 -0.12865035 0.008321439 -0.7539804 0.15088414 0.12088947 -0.14659129 0.33217388 0.043167338 -0.06770025 -0.37193888 0.16846037 0.10459233 0.25778282 0.031104947 0.38460758 0.56269324 0.060098615 0.012202988 -0.23926944 0.6861323 -0.37400618 0.27679256 -0.30446786 0.42669204 -0.26572722 0.13742107 -0.48014796 -0.06414522 -0.049577363 -0.4420156 -0.14813113 0.41025403 0.1858966 0.0808363 -0.22800782 -0.41556925 -0.38306153 0.25802723 0.2273638 0.1486961 -0.078013785 -0.0017602514 -0.22671027 -0.31243753 -0.18019266 -0.4101505 0.10396061 -0.5099497 -0.6674538 0.03509855 -0.12063263 0.026734753 -0.037182428 -0.20306836 0.018582445 0.32138777 0.00041945622 0.21709158 0.20368083 0.16028397 -0.07235796 0.0038991326 -0.116155274 0.046901908 -0.05252195 -0.040976346
0 0.028280353 0.2621758 -0.102281824 0.0063247625 0.16397506 -0.24128594 -0.048936065 -0.12756479 0.03559995 -0.28409675 -0.24995872 0.5107153 0.05367285 0.12510407 -0.32724318 0.05406196 0.44801205 -0.2274663 0.17758998 0.10206168 -0.20590995 0.36960143 0.17000654 0.009394227 -0.07597753 -2.8782847 0.06978375 0.0766331 0.04479964 -0.33859113 -0.058939382 -0.04122946 0.2391551 -0.17978324 -0.12020191 0.0557658 0.0033203582 0.08962807 0.10808938 -0.028997874 -0.065591305 0.18946001 0.26437157 -0.08347548 -0.058725648 -0.10100239 -0.21491908 0.07561861 0.28052264 0.25312826 -0.07071873 0.27614346 1.0116613 0.48306477 -0.12486929 0.97940606 0.15601914 0.062066406 -0.10541895 -0.08260125 -0.008336479 0.1017467 -0.20560203 -0.3047227 0.26149783 -0.121367335 0.22681063 -0.14057466 0.2612199 0.12995936 -0.14604521 0.0064156847 0.35287082 0.1949757 0.006539541 -0.18789719 -0.20665254 0.1543309 -0.0014602914 0.02832831 0.024305152 -0.09398308 -0.063929476 -0.36565664 1.4310764 0.075444244 0.008532321 -0.23653068 0.13361686 -0.053312477 0.055037495 0.42897686 -0.09706166 0.085446775 -4.689704e-05 -0.07756253 0.17457163 0.23759124 0.103366815 0.01878022 -0.7083314 -0.079250276 0.28176665 0.28411824 0.10988906 0.24280547 -0.41425443 -0.12272238 -0.075879686 -0.98699445 0.06438199 -3.3115575 -0.20675385 -0.038218316 -0.08827047 0.14727297 -0.11097066 -0.32600483 -0.085464396 0.28992322 -0.0011062174 0.020283097 0.21991026 0.20494254 -0.0049904403 0.9740377 -0.124063596 0.11243963 -0.03635741 0.23439965 -0.04912881 -0.16546248 -0.19442008 -0.08963805 -0.012502382 0.09738722 0.0027924548 -0.07119475 0.012285431 0.07794556 -0.18042362 -0.10634858 -0.08234287 0.07356604 -0.21262787 0.05323485 0.22571588 0.33565208 0.14347667 0.10033687 0.14489548 0.1475798 0.16924745 0.40566194 0.2883983 0.06501065 -0.5323926 -0.9316734 0.08142982 -0.05578296 -0.06920212 -0.03447464 0.23006347 -0.23937023 -0.62892216 0.25511578 0.015635628 -0.08202914 -0.2819541 -0.079482175 -0.10965449 -0.07766162 0.16631186 -0.18657383 -0.055577055 0.2973745 -0.3046448 0.087375455 -0.34897125 -0.05700938 0.010444338 0.06985748 -0.024407221 -0.18772231 -0.0559728 0.029096913 -0.26642373 -0.09683472 -0.2853804 0.11446579 -0.0054817195 0.081336096 -0.27017382 0.20719407 -0.11875685 -0.19114013 -0.2492653 -0.12070444 0.31646693 -0.07551495
361 -0.07045789 0.38232931 0.21118091 0.034309372 0.3800905 -0.18892856 0.14604822 0.51670337 -0.3755028 0.4354508 0.027829092 -0.19868748 -0.018313691 -0.3749418 0.32215297 0.1312153 0.34969726 0.2828993 0.08170512 -0.81581205 -0.1467579 0.4361632 -0.4986779 -0.086287096 0.25703126 -0.40371233 0.12162105 -0.07179998 -0.09900254 -0.47145346 -0.06336729 -0.33001176 -0.24301246 -0.06755074 0.18243909 0.4222697 0.51845896 -0.06255868 0.24448095 -0.037973955 -0.20480621 0.32825378 -0.053145878 0.19967781 0.23497897 0.20100342 -0.020638749 0.27059293 0.087856695 0.12050728 0.37986803 0.33231497 0.23040992 0.16634248 -0.009905865 0.09427262 -0.069892645 0.000894436 0.23579983 -0.30494294 0.03824308 -0.71491593 -0.18814358 -0.026804946 0.09391449 0.1639408 -0.10767031 -0.002705616 0.12048632 0.41929492 -0.15088919 0.0053217276 0.1630717 0.07631975 -0.3569952 -0.070314884 -0.17787409 -0.117855065 0.3840801 0.62471116 0.15767567 0.2863185 -0.14750108 -0.16860999 0.19518478 -0.120115146 -0.025859788 -0.073880285 0.48636815 0.022690957 0.0019831252 0.19645984 -0.066688806 0.065345846 -0.31336847 0.12207494 0.037543498 0.21145755 0.06033816 0.1967781 -0.050449573 0.65588886 -0.08005677 0.07206282 -0.11136494 0.24401307 -0.0004236614 0.11766809 0.13352989 0.8513139 -0.07441615 0.28685102 -0.05623804 0.35812092 -0.19182229 0.35660288 0.010353171 0.12924878 0.20199427 0.11476636 -0.41988933 -0.054506365 0.15056084 -0.40290657 -0.11270485 -0.03371315 0.29932737 0.09070803 -0.5957035 0.16432896 -0.4038733 -0.07865489 0.2505585 -0.18939476 0.301927 0.25004816 0.3255936 0.1795461 -0.3984893 -0.6879725 0.07713517 0.049254376 -0.013227531 0.5788625 -0.25360587 0.38316536 -0.4323729 -0.13817556 -0.31016618 0.009775531 0.5917401 -0.35335097 0.2631509 0.009723994 -0.18596372 0.112340085 -0.11380187 0.6799726 -0.24368095 0.2418902 -0.4468402 0.26422206 -0.24605162 0.5390082 -0.3510801 0.14311542 -0.0670913 -0.07328968 -0.2728738 0.28307486 -0.25085494 0.7348471 -0.09692651 -0.41754913 -0.081973426 -0.41950774 0.46649194 0.085371606 -0.2942303 0.09463983 -0.21031106 -0.3261871 0.13255991 -0.09300313 -0.06496681 -0.024417125 0.18389824 0.23525505 -0.054594167 -0.022952614 0.25987482 -0.32368505 0.44532928 0.6494017 0.31637022 0.74436396 0.4674327 0.05430975 0.42952418 0.28593963
362 0.20338704 -0.5256022 -0.063100256 0.33840588 0.23619427 -0.30035892 0.22093087 0.13360636 -0.27232772 -0.118177816 0.13619754 -0.057979356 -0.20231254 0.26826206 -0.37938663 0.48728743 -0.15813613 0.1666084 -0.12570053 -0.6961827 -0.3788221 0.34666377 -0.06567503 0.023875244 -0.006774204 -0.7095644 -0.1253978 -0.24279793 -0.034095258 -0.312524 -0.5408188 0.21994328 0.20358704 -0.39723 -0.6439039 -0.31130084 0.08196884 -0.014554437 0.23869696 0.34150258 -0.49753836 0.059282232 0.08796643 0.5844005 0.18775953 0.18805471 -0.7547066 -0.2560022 0.3254267 0.17017178 0.24875794 -0.20648138 0.08776607 -0.21367677 0.17741394 0.13550378 -0.14139248 0.21060081 0.58735853 0.2487087 0.14743048 0.15318646 -0.018852543 -0.12812713 0.038706962 -0.27984607 0.3828629 0.2865055 0.38833866 -0.16794306 0.019079495 -0.044386443 0.04541199 0.36186624 0.20039237 0.112916365 -0.21136692 -0.08843287 -0.3642708 -0.70876634 0.31260255 -0.49844185 -0.03415246 0.03153766 0.18153422 -0.5709718 0.31970185 0.12915002 0.2544072 -0.23486166 0.3196906 0.11196013 -0.3419157 0.5423126 -0.122982614 0.2627538 -0.21093626 -0.63166183 0.23574658 -0.42932865 -0.13562234 0.010768888 0.33491972 -0.16699389 0.2932562 -0.08636926 -0.045990355 -0.23483412 0.4353596 0.1483848 -0.41683492 0.47615036 0.08122097 -0.919924 -0.25360724 0.46796727 0.73558724 -0.13885343 0.12471416 -0.005594713 0.21412553 0.20743056 -0.1574983 -0.08601275 0.2834888 0.12927331 0.019191368 0.06421379 -0.13321954 -0.14410548 0.4108822 -0.39999384 0.19374642 0.5794734 -0.011709328 -0.1304607 -0.036436893 0.18983327 -0.3123167 -0.49229932 -0.16469556 0.27824724 0.24306759 -0.17645966 0.02101726 0.3447257 0.29423282 -0.064610995 0.3029408 0.089157194 -0.054743696 0.61408705 0.024566263 -0.22102723 0.05825191 -0.3985267 0.21075028 0.43310115 0.04139436 -0.18911408 -0.17327634 0.115673944 0.23500927 -0.20210287 0.17451528 0.34769878 0.26081315 -0.089413404 0.01629519 0.81641954 0.15090136 -0.46267724 -0.31901842 0.07687774 -0.047648624 -0.049387902 -0.2357806 0.30913934 -0.104249716 -0.19529374 -0.46437854 0.032030474 -0.37706974 0.16192101 -0.27607283 0.35376418 -0.21535362 0.13345219 -0.43989187 0.31056044 -0.04125123 0.5094664 -0.15205032 0.7918857 0.21901272 0.16950057 -0.23031323 0.1804258 0.4294201 0.3330492
363 0.096980944 -0.012403521 0.23756307 -0.20562695 0.008285448 0.38740706 -0.045812804 -0.31821457 0.5410835 -0.7810866 0.42892703 -0.2570039 -0.03303733 0.70879537 0.14928788 0.51699054 0.028872753 -0.69816196 0.074660785 -0.523982 -0.33171815 0.16776021 0.37733808 -0.21544378 0.2493982 -0.5191521 -0.046389602 -0.10403516 -0.6070252 -0.6800475 -0.30268738 0.26870173 0.051322255 -0.39463797 0.08955264 -0.04132752 0.34603447 -0.31904498 -0.10353374 0.11532143 -0.40360704 -0.487578 -0.054916825 0.2275809 0.45776185 0.4112985 -0.20168035 0.66578853 -0.25801712 -0.26799548 -0.46054783 0.31409642 -0.060585003 0.3979469 0.028270245 0.31429496 0.8182392 0.11018209 0.19335249 -0.042394355 -0.32943442 -0.10943001 -0.16654946 -0.06902767 0.61836314 0.18332101 0.4950927 -0.011933865 -0.8627666 -0.38596705 0.048354696 0.27706876 -0.043804236 -0.59616834 -0.09176197 0.44946754 0.75888014 -0.018910645 0.45844224 0.025769467 0.62716377 0.22495921 -0.16069363 0.12797053 0.34725186 0.30475172 0.16044411 -0.3086538 -0.3838662 -0.3972459 0.19891404 -0.12853996 0.6915257 0.5359727 -0.37946865 -0.049746566 -0.028990481 -0.15775608 -0.41087216 0.09800719 0.3908702 -0.3082595 -0.26311138 0.2619372 -0.12023357 0.67418283 0.23333284 -0.7560591 0.7578497 0.62750036 0.120142415 0.26727337 -0.51940316 0.39790237 0.2095806 -0.43843135 0.20621412 0.18769167 -0.26018628 0.04140206 -0.35404795 -0.6062675 -0.6362699 0.027093725 0.0010366783 -0.17276296 0.23575884 0.2704433 -0.031225294 -0.37764412 -0.34155366 0.14028491 -0.023876661 0.09644285 0.29022056 0.061975252 0.38480377 -0.41139725 -0.44873518 -0.22381404 0.032562267 -0.026083997 -0.43322977 0.41570696 -0.6122858 -0.13218139 -0.7100241 0.5377546 0.43909827 -0.074253395 0.4022194 -0.52853054 -0.43987396 0.3279703 -0.5053616 -0.7067062 0.25675964 0.79247195 -0.2813593 -0.057377797 -0.068178505 0.6877186 -0.32073763 0.7753183 0.20586242 0.47307315 0.09672711 -0.4189023 0.21054031 0.21785188 -0.478894 -0.67160106 -0.114694685 0.21225183 0.24860536 0.56442237 0.26726335 -0.34378532 0.15615097 0.16640209 0.07771307 -0.24488834 -0.6090867 -0.26298723 0.06279701 -0.22007705 0.5148045 0.41594586 -0.13069662 -0.31242397 -0.056132726 0.045982666 -0.060687967 -0.13226725 -0.19507705 0.26875266 0.64783585 -0.08072525 -0.4280714 0.93850905
364 0.83272785 -0.2799125 0.54639524 -0.05793568 0.10442151 0.5569977 -0.2538185 0.21216959 -0.19225334 -0.26947394 -0.18886444 -0.22559136 -0.44456536 -0.2803976 -0.05306438 -0.04593342 -0.43980026 0.34930414 -0.42166275 -0.06725877 -0.20735127 -0.20499712 -0.2862854 0.1826657 0.15909909 -0.45993102 -0.03578176 -0.058938783 -0.122315444 0.05560333 0.25747368 0.07327978 -0.046365768 0.22386393 -0.19783503 -0.021965591 -0.09279566 0.4434209 0.024280358 0.021099284 0.26487845 0.4774037 0.02125024 0.5481133 0.5091467 -0.09731915 -0.059829228 0.053098746 0.2275024 0.29909846 -0.24988618 0.017979687 -0.07732375 -0.06431769 -0.07763222 0.6913956 -0.2923355 0.89700633 -0.3197489 0.10120794 0.16895661 -0.4964403 0.42641056 0.19314963 0.043897253 -0.330656 -0.24550627 0.2609976 0.41137448 0.5361303 -0.011653576 -0.08780117 -0.46666566 -0.010317388 0.22279987 -0.27127087 0.29412028 0.23259413 -0.16156353 -0.06527459 0.26733428 -0.52510947 -0.0397712 0.19037136 0.2945883 0.477034 0.10353844 -0.26896405 0.3445357 -0.667889 0.14633234 -0.047707684 0.13378346 -0.17456657 -0.25909582 0.4075229 -0.12796482 -0.24911751 0.025994776 0.15631099 -0.06418319 -0.16872737 0.54926276 0.1745716 -0.52016616 0.060533512 -0.35960692 -0.00138171 0.1817658 1.2414477 -0.069457605 0.21468629 0.17151955 -0.29442024 -0.04631522 0.15004374 -0.06789717 -0.19461736 -0.17690384 -0.0070090783 0.22994299 -0.037974354 -0.403089 -0.4459423 -0.017582059 0.16137178 -0.24070364 0.035205692 0.11437467 0.33810672 0.34135857 -0.16070163 -0.11181862 -0.21297164 0.29183602 -0.040892527 -0.30505094 -0.17129406 0.33551508 -0.20374292 0.102141485 -0.13676378 -0.34201044 -0.05426498 -0.08917705 -0.71512985 0.34140867 0.2725988 0.22936037 -0.42573598 -0.28614333 -0.05788255 0.031349573 0.0952982 0.109836586 0.19855528 0.0841885 0.42477447 0.22646591 0.18534906 -0.26932576 -0.40838718 0.040592305 0.34317425 -0.17011747 -0.26075727 -0.42325512 -0.09160857 0.21220234 -0.19880551 -0.5047116 0.11134788 0.22246976 0.00021079427 0.37318322 -0.23919323 0.2629025 -0.24045566 -0.03591513 0.50393546 0.084372565 0.44839627 0.07014664 0.24505667 0.029640235 -0.17976749 0.0057034856 -0.28003594 0.12478538 -0.11537545 -0.11240737 0.07744235 -0.08206015 0.050929464 0.2891459 -0.12672566 0.25902778 0.38469929 0.20774668 0.3850203
365 0.565964 -0.037842076 -0.18382548 0.28416142 -0.0007064539 -0.4542078 0.23914732 -0.16153528 0.27589032 0.026300529 0.084066585 -0.13803753 -0.18285155 -0.273783 -0.3627956 0.22546995 -0.09695981 0.39441103 0.4124717 0.12077351 0.3091919 0.41054454 -0.17766587 -0.5198957 -0.14522618 -0.548701 0.10593049 -0.6040291 -0.1300045 0.0030006499 0.027902946 -0.07498436 0.1754481 -0.023308653 0.10666212 -0.15275215 0.21657835 -0.28309274 -0.46147007 -0.13934511 -0.28694874 0.1848342 -0.16732809 0.0060904804 -0.06578811 0.34850645 -0.1102282 0.19797762 0.31282946 0.55009323 0.34012577 -0.06708621 0.070257045 0.13361028 0.41889605 0.29549077 -0.43220937 0.16803513 -0.013563555 0.19935378 -0.35478005 0.15655197 -0.27379555 -0.27277583 0.15874425 0.09790177 -0.26917404 0.43192643 -0.072570495 0.061931424 -0.37483904 0.42870784 -0.11141027 -0.653526 -0.31838542 0.17196536 -0.02885124 -0.22397557 -0.21869726 -0.15798405 -0.042602427 0.3292457 -0.026012769 -0.41009024 0.28964138 -0.012765685 0.025810871 -0.20243812 -0.124120265 -0.82785225 -0.05093481 -0.63012326 -0.079698026 0.48919058 0.028457912 -0.33579 -0.17845665 0.8566853 0.055257376 0.284091 -0.3572339 0.7777792 0.28084305 0.17068844 -0.4934358 0.075571805 -0.037197214 0.08069189 0.32327694 0.21083066 -0.039463423 0.43965682 0.07120405 0.03540265 0.3072735 -0.23784897 -0.16727059 0.21457864 0.117176436 -0.32761165 -0.16445622 -0.078191176 -0.45846236 0.63708633 -0.28119305 -0.23788442 0.051837448 0.12721542 0.21867345 -0.07734841 -0.44239932 0.30478582 -0.09968715 -0.014009465 -0.3962222 0.17659989 0.042177983 1.0937791 0.12613352 -0.086400874 0.07044778 0.40605584 0.5278416 0.15998238 -0.03334026 -0.06739712 -0.010054103 0.13086249 0.750662 0.101280496 -0.10230425 -0.45693207 0.2264267 0.026171913 1.0415484 -0.02516479 0.3140529 1.1137624 -0.4965277 0.73444074 -0.10056493 -0.29185468 -0.38205507 -0.47952297 -0.34233773 -0.41531616 -0.23037584 0.14402713 -0.46526942 0.4011727 0.13115765 0.2300839 0.1432277 0.09653487 0.12287188 -0.25870028 0.27431747 -0.051264044 -0.018946074 -0.20221084 -0.29907387 0.030689422 0.29814297 -0.083501 0.20307621 -0.22226498 0.08431125 -0.3007913 0.057679158 -0.05860207 -0.14058931 -0.14984342 -0.22230318 0.38027367 -0.0041423226 -0.47844595 0.51540095 -0.39974043 -0.1171949 0.076297574
366 -0.8648574 0.02430327 0.17710215 0.07215175 -0.06594357 -0.35624054 -0.5767812 0.10323274 0.32059216 0.18673244 0.49635085 -0.14580445 0.156628 -0.57372767 0.1549627 0.08829429 -0.05603444 0.10047852 0.022988059 0.043282375 0.39457935 0.3370177 -0.26017135 0.013677662 0.30734926 -0.54289466 0.35856795 -0.04054298 -0.04415737 -0.46373004 -0.4413334 -0.03786568 -0.15894528 0.03485843 0.36808226 0.0044943346 -0.24514134 0.17828904 -0.33464006 0.041830666 0.14967217 -0.32675928 -0.29656136 0.62690794 0.25603208 0.09008447 -0.34031987 0.32509264 0.21902743 0.2695325 -0.1262781 -0.00088667264 0.07835566 0.06289656 0.33844447 0.25647968 -0.3699553 0.06893568 -0.0077333814 0.1117183 -0.028180962 -0.018064938 0.11612419 0.67771626 -0.22349223 -0.17996155 -0.015436419 0.28575152 0.35825267 -0.26792517 0.27451795 0.31460842 0.123989806 -0.37018943 -0.03650456 0.23799947 0.10948104 0.016354183 0.19258238 0.23228171 0.29968324 -0.12719743 -0.005551745 0.3181974 0.15154079 0.052088805 -0.27107182 0.015129578 0.17163503 -0.45927694 0.051767275 -0.35552797 0.005058844 0.11254559 -0.03218986 0.175575 0.29150814 0.2119381 -0.20860778 0.24935485 -0.19535474 -0.19170623 0.17244838 -0.40081644 0.43711638 -0.20218134 0.07035481 0.2385215 -0.170512 1.0963233 -0.11917656 0.54317373 0.15550376 -0.026639607 -0.27144387 0.5128102 -0.14287584 -0.21008444 0.04792991 0.18033728 -0.3389343 -0.18995681 -0.16400805 0.69129544 -0.037019283 -0.023013309 0.04052422 -0.026944432 -0.017198842 0.1432188 0.09432034 -0.09989215 0.11388411 0.22193614 0.09575245 -0.33212307 -0.028865013 -0.023093414 0.35147518 -0.22056887 -0.14634594 -0.3527046 0.3278793 -0.068221875 -0.34352636 -0.11302458 -0.16604006 -0.303037 -0.16890922 0.06866821 0.0072792433 -0.53901356 -0.11667782 0.51554203 0.2951709 -0.20148224 -0.0038996285 0.100040875 -0.0239632 -0.19796947 -0.11460859 -0.0590975 -0.14921711 -0.15384373 -0.07636517 0.2559038 0.14271691 -0.11802316 -0.34357116 0.095991634 -0.21434939 -0.08075124 -0.083405346 -0.14252779 -0.6280529 0.1052255 0.26218554 0.090012744 -0.122083455 -0.24269967 0.2513097 -0.016212545 -0.30412117 -0.33221647 0.15700881 0.0322775 -0.021931062 0.08635866 -0.18494806 -0.4132115 0.029009596 0.21920446 -0.0027387145 -0.16685683 0.09367949 0.0109672565 0.44382375 0.19965 0.13847692 0.05854378
367 0.16474557 0.1901284 -0.08253612 -0.108038425 0.117027126 -0.040000968 0.2940933 0.01685879 0.18972643 0.33517668 -0.089820735 -0.22800772 0.09559491 0.30890137 0.054008465 0.30491737 0.22740665 -0.37557784 -0.02592916 -0.4175093 -0.17234007 -0.47548723 -0.2742105 -0.06424555 -0.06749479 -0.6429465 0.33923313 -0.16007909 0.13318448 -0.24604525 -0.026030857 0.10519428 0.04220282 -0.18155405 0.07199297 0.27249333 0.24487117 0.3185518 0.07865873 -0.4558223 -0.18297565 0.67700905 -0.18969776 0.27576357 0.17166093 0.10473896 -0.290947 0.056787636 0.18395258 0.27433452 0.09244818 -0.058834005 -0.112222694 -0.09774403 -0.009737473 0.6766649 -0.19758517 0.25108612 -0.0106113 -0.35386795 0.0047462783 0.3848072 0.23266345 -0.09730791 0.0148088755 -0.07146759 -0.06382883 -0.634875 0.051499676 -0.52962005 -0.20570408 0.5396315 0.05773951 0.20167692 -0.00872104 -0.39507538 -0.017230185 -0.4565076 0.47003388 -0.25934657 0.054629944 -0.17361131 0.0070499373 0.40377805 0.20508246 -0.49609154 -0.066496946 -0.09308355 -0.23964167 -0.020667339 -0.35860127 -0.17741638 -0.19806708 0.14692499 0.070606284 0.08133324 0.18293968 0.4043795 0.24851751 0.2234654 -0.011301243 0.097724274 -0.08182327 -0.17728607 0.31644958 -0.15125434 -0.6503078 0.1069974 0.0137100555 0.417578 -0.42135468 0.40004238 0.13925697 -0.014583948 0.08278454 0.5312612 0.041008487 0.06265369 -0.23741175 -0.32511026 0.08204684 -0.09799685 -0.20452261 -0.054651164 -0.15947637 -0.15850879 -0.24756153 0.31155646 -0.52864844 0.12334411 -0.3972497 0.55595297 0.16824989 0.13237718 -0.44235697 0.108718745 0.19773805 0.07996071 0.24795717 -0.41092712 0.35092264 -0.21152277 0.06623193 0.07959092 0.09785411 -0.04753882 -0.33312643 0.21095563 0.15235747 -0.03807104 -0.07705761 0.03923629 0.41578165 -0.023671804 0.24665426 -0.42904463 0.28551236 0.54536724 -0.025500251 0.1070799 -0.18749748 -0.6389232 -0.25085482 -0.06477075 0.04113554 0.23252769 0.09218951 -0.0033145475 -0.1269058 -0.14022973 0.057765942 -0.43936348 -0.21347897 -0.13410985 0.1909134 -0.105329625 0.016112203 0.17373618 0.17736857 0.03901453 0.14997171 -0.015033992 -0.35071266 0.115841284 -0.17342879 -0.0056103403 -0.055279363 -0.043321807 -0.008959471 -0.076235354 0.133388 0.5099547 0.13193208 -0.018128252 -0.010336257 0.21084839 -0.4030537 -0.05023986 -0.020616934 0.2485057
368 0.23774683 -0.041937456 -0.34484178 -0.04436475 -0.33491486 -0.12616651 -0.25594974 0.04778663 0.26555738 0.28719506 -0.07843968 -0.06696192 0.13864286 -0.048671905 -0.44982857 0.2826415 0.01563905 -0.13224533 0.02990511 -0.15169948 -0.108123 0.026200138 -0.08316227 -0.21948284 0.23756275 -0.40525177 -0.31923413 0.039464448 0.03932975 0.06774371 -0.15805455 -0.07139471 -0.03633365 0.030712936 0.009122051 0.18480328 -0.4339382 0.09859084 -0.049881827 -0.35574296 0.15839237 0.09631126 -0.048601788 0.00436833 0.19283293 -0.034164503 -0.3769798 0.06597039 -0.111751094 0.0038853216 -0.14545728 0.014796806 -0.0069401776 0.14798705 0.283502 0.55186373 0.06215915 0.039446034 -0.13510837 0.11345015 -0.22099435 0.55712605 0.22486623 0.3895229 -0.46887755 -0.14132455 0.06698171 0.2620855 0.18633941 0.089323856 0.07333109 0.321825 0.21268405 0.20305233 -0.3954475 -0.046087656 -0.07367458 0.21640421 0.34452 0.13878028 0.34168428 -0.058221914 -0.15164155 0.041722223 0.23862015 0.03065109 0.5437443 -0.26309282 -0.04911596 0.08011788 0.4205351 -0.3203715 -0.19168681 0.001746272 -0.11429608 -0.25302395 0.2135876 0.2661411 -0.06775593 -0.20587303 0.008767409 0.020854898 -0.10405462 -0.025237013 0.30583435 0.12313877 -0.09635374 0.42345518 -0.14264837 0.23357593 -0.1905672 0.52932113 0.055301607 -0.31122547 -0.099465415 0.21149588 -0.18745317 0.10538873 0.16706641 -0.21604575 0.06416601 0.095610045 0.08857925 0.124091655 0.2829147 -0.0061148293 -0.351686 -0.076835044 -0.23258393 -0.0011924817 -0.052242566 -0.18604733 -0.37731427 0.11164924 -0.035111748 -0.16022296 0.18507051 -0.0948374 -0.09463402 -0.05826723 -0.1441264 -0.026671255 0.14772873 -0.23662323 -0.25340396 -0.04275234 -0.5477682 0.084336214 -0.365392 -0.24393933 0.3751426 -0.44464666 0.30364892 -0.108217396 -0.11070372 -0.0113619575 -0.002487586 0.023622673 0.06825386 0.27573317 0.35778922 0.074670285 -0.17460924 -0.16448893 -0.1727522 -0.20320152 -0.15477821 0.0037609707 -0.0065736836 0.021428248 0.0075682034 -0.013053028 -0.18222328 0.031911075 0.10687095 -0.068112336 -0.060449887 -0.08658957 0.029695135 -0.20767646 -0.053852618 -0.2801153 -0.25970042 -0.17409885 -0.21990287 0.26998988 -0.25218812 -0.2284631 -0.016098564 -0.38956052 0.016139949 0.23594116 -0.06482801 0.25179935 -0.13979301 0.089855544 -0.15226097 -0.26400903 0.026620962 -0.063535355
